Company Name,Industry,Symbol,Series,ISIN Code
PTT,Energy,PTT.BK,EQ,
Airports of Thailand,Industrials,AOT.BK,EQ,
Advanced Info Service,CommServices,ADVANC.BK,EQ,
CP All,Consumer Staples,CPALL.BK,EQ,
Gulf Energy Development,Utilities,GULF.BK,EQ,
PTT Exploration,Energy,PTTEP.BK,EQ,
Siam Cement,Materials,SCC.BK,EQ,
Kasikornbank,Financials,KBANK.BK,EQ,
Bangkok Bank,Financials,BBL.BK,EQ,
Siam Commercial Bank,Financials,SCB.BK,EQ,
Krung Thai Bank,Financials,KTB.BK,EQ,
Bank of Ayudhya,Financials,BAY.BK,EQ,
TMBThanachart Bank,Financials,TTB.BK,EQ,
PTT Global Chemical,Materials,PTTGC.BK,EQ,
Indorama Ventures,Materials,IVL.BK,EQ,
Charoen Pokphand Foods,Consumer Staples,CPF.BK,EQ,
CP Axtra,Consumer Staples,CPAXT.BK,EQ,
Central Pattana,RealEstate,CPN.BK,EQ,
True Corporation,CommServices,TRUE.BK,EQ,
Intouch Holdings,CommServices,INTUCH.BK,EQ,
Bangkok Dusit Medical,Healthcare,BDMS.BK,EQ,
Bumrungrad Hospital,Healthcare,BH.BK,EQ,
Bangkok Expressway,Industrials,BEM.BK,EQ,
BTS Group,Industrials,BTS.BK,EQ,
Home Product Center,ConsumerDisc,HMPRO.BK,EQ,
Berli Jucker,Industrials,BJC.BK,EQ,
Global Power Synergy,Utilities,GPSC.BK,EQ,
Electricity Generating,Utilities,EGCO.BK,EQ,
Ratch Group,Utilities,RATCH.BK,EQ,
Thai Oil,Energy,TOP.BK,EQ,
IRPC,Energy,IRPC.BK,EQ,
Banpu,Energy,BANPU.BK,EQ,
Minor International,ConsumerDisc,MINT.BK,EQ,
Osotspa,Consumer Staples,OSP.BK,EQ,
Carabao Group,Consumer Staples,CBG.BK,EQ,
Delta Electronics Thailand,Technology,DELTA.BK,EQ,
PTT Oil and Retail,Energy,OR.BK,EQ,
Kiatnakin Phatra Bank,Financials,KKP.BK,EQ,
Tisco Financial Group,Financials,TISCO.BK,EQ,
Muangthai Capital,Financials,MTC.BK,EQ,
Srisawad Corporation,Financials,SAWAD.BK,EQ,
Krungthai Card,Financials,KTC.BK,EQ,
Sappe,Consumer Staples,SAPPE.BK,EQ,
Thai Union Group,Consumer Staples,TU.BK,EQ,
Betagro,Consumer Staples,BTG.BK,EQ,
Central Retail Corporation,ConsumerDisc,CRC.BK,EQ,
Com7,ConsumerDisc,COM7.BK,EQ,
Global Green Chemicals,Materials,GGC.BK,EQ,
Siam Cement Packaging,Materials,SCGP.BK,EQ,
Eastern Polymer Group,Materials,EPG.BK,EQ,
WHA Corporation,RealEstate,WHA.BK,EQ,
Amata Corporation,RealEstate,AMATA.BK,EQ,
Land and Houses,RealEstate,LH.BK,EQ,
Supalai,RealEstate,SPALI.BK,EQ,
Sansiri,RealEstate,SIRI.BK,EQ,
Pruksa Holding,RealEstate,PSH.BK,EQ,
Thai Airways International,Industrials,THAI.BK,EQ,
Bangchak Corporation,Energy,BCP.BK,EQ,
B Grimm Power,Utilities,BGRIM.BK,EQ,
Energy Absolute,Utilities,EA.BK,EQ,
Sri Trang Agro-Industry,Materials,STA.BK,EQ,
Star Petroleum Refining,Energy,SPRC.BK,EQ,
Bangkok Chain Hospital,Healthcare,BCH.BK,EQ,
Chularat Hospital,Healthcare,CHG.BK,EQ,
