Company Name,Industry,Symbol,Series,ISIN Code
Koc Holding,Industrials,KCHOL.IS,EQ,
Turkiye Garanti Bankasi,Financials,GARAN.IS,EQ,
Akbank,Financials,AKBNK.IS,EQ,
Turkiye Is Bankasi,Financials,ISCTR.IS,EQ,
Yapi ve Kredi Bankasi,Financials,YKBNK.IS,EQ,
BIM Birlesik Magazalar,Consumer Staples,BIMAS.IS,EQ,
Turkcell,Communication Services,TCELL.IS,EQ,
Aselsan,Industrials,ASELS.IS,EQ,
Sabanci Holding,Industrials,SAHOL.IS,EQ,
Turk Hava Yollari (THY),Industrials,THYAO.IS,EQ,
Ford Otosan,Consumer Discretionary,FROTO.IS,EQ,
Tofas Turk Otomobil,Consumer Discretionary,TOASO.IS,EQ,
Eregli Demir Celik,Materials,EREGL.IS,EQ,
Turk Telekom,Communication Services,TTKOM.IS,EQ,
Petkim,Materials,PETKM.IS,EQ,
Tupras,Energy,TUPRS.IS,EQ,
Sasa Polyester,Materials,SASA.IS,EQ,
Kardemir,Materials,KRDMD.IS,EQ,
Vakiflar Bankasi,Financials,VAKBN.IS,EQ,
Halkbank,Financials,HALKB.IS,EQ,
Pegasus Hava Tasimaciligi,Industrials,PGSUS.IS,EQ,
Emlak Konut REIT,Real Estate,EKGYO.IS,EQ,
Enka Insaat,Industrials,ENKAI.IS,EQ,
Arcelik,Consumer Discretionary,ARCLK.IS,EQ,
Sisecam,Materials,SISE.IS,EQ,
Coca-Cola Icecek,Consumer Staples,CCOLA.IS,EQ,
Anadolu Efes,Consumer Staples,AEFES.IS,EQ,
Migros Ticaret,Consumer Staples,MGROS.IS,EQ,
Aydem Yenilenebilir,Utilities,AYDEM.IS,EQ,
Yapi Kredi Koray,Real Estate,YKGYO.IS,EQ,
Gubre Fabrikalari,Materials,GUBRF.IS,EQ,
Turkiye Sigorta,Financials,TURSG.IS,EQ,
Aygaz,Energy,AYGAZ.IS,EQ,
Dogan Holding,Industrials,DOHOL.IS,EQ,
Vestel Elektronik,Consumer Discretionary,VESTL.IS,EQ,
Sok Marketler,Consumer Staples,SOKM.IS,EQ,
Ulker Biskuvi,Consumer Staples,ULKER.IS,EQ,
Tav Havalimanlari,Industrials,TAVHL.IS,EQ,
Turk Traktor,Consumer Discretionary,TTRAK.IS,EQ,
Dogus Otomotiv,Consumer Discretionary,DOAS.IS,EQ,
Tekfen Holding,Industrials,TKFEN.IS,EQ,
Alarko Holding,Industrials,ALARK.IS,EQ,
Mavi Giyim,Consumer Discretionary,MAVI.IS,EQ,
Bizim Toptan,Consumer Staples,BIZIM.IS,EQ,
Hektas,Materials,HEKTS.IS,EQ,
Brisa Bridgestone,Consumer Discretionary,BRISA.IS,EQ,
Goodyear Lastikleri,Consumer Discretionary,GOODY.IS,EQ,
Otokar,Consumer Discretionary,OTKAR.IS,EQ,
Karsan Otomotiv,Consumer Discretionary,KARSN.IS,EQ,
Akcansa Cimento,Materials,AKCNS.IS,EQ,
Cimsa Cimento,Materials,CIMSA.IS,EQ,
Oyak Cimento,Materials,OYAKC.IS,EQ,
Tureks Turizm,Industrials,TUREX.IS,EQ,
Yatas,Consumer Discretionary,YATAS.IS,EQ,
Logo Yazilim,Technology,LOGO.IS,EQ,
Reeder Teknoloji,Technology,REEDR.IS,EQ,
Astor Enerji,Industrials,ASTOR.IS,EQ,
Smart Gunes Enerjisi,Energy,SMRTG.IS,EQ,
Mia Teknoloji,Technology,MIATK.IS,EQ,
Enerjisa Enerji,Utilities,ENJSA.IS,EQ,
Aksa Enerji,Utilities,AKSEN.IS,EQ,
Zorlu Enerji,Utilities,ZOREN.IS,EQ,
Vestel Beyaz Esya,Consumer Discretionary,VESBE.IS,EQ,
Turk Demir Dokum,Consumer Discretionary,DOKTA.IS,EQ,
