Company Name,Industry,Symbol,Series,ISIN Code
Koc Holding,Industrials,KCHOL.IS,EQ,
Turkiye Garanti Bankasi,Financials,GARAN.IS,EQ,
Akbank,Financials,AKBNK.IS,EQ,
Turkiye Is Bankasi,Financials,ISCTR.IS,EQ,
Yapi ve Kredi Bankasi,Financials,YKBNK.IS,EQ,
BIM Birlesik Magazalar,Consumer Staples,BIMAS.IS,EQ,
Turkcell,CommServices,TCELL.IS,EQ,
Aselsan,Industrials,ASELS.IS,EQ,
Sabanci Holding,Industrials,SAHOL.IS,EQ,
Turk Hava Yollari (THY),Industrials,THYAO.IS,EQ,
Ford Otosan,ConsumerDisc,FROTO.IS,EQ,
Tofas Turk Otomobil,ConsumerDisc,TOASO.IS,EQ,
Eregli Demir Celik,Materials,EREGL.IS,EQ,
Turk Telekom,CommServices,TTKOM.IS,EQ,
Petkim,Materials,PETKM.IS,EQ,
Tupras,Energy,TUPRS.IS,EQ,
Sasa Polyester,Materials,SASA.IS,EQ,
Kardemir,Materials,KRDMD.IS,EQ,
Vakiflar Bankasi,Financials,VAKBN.IS,EQ,
Halkbank,Financials,HALKB.IS,EQ,
Pegasus Hava Tasimaciligi,Industrials,PGSUS.IS,EQ,
Emlak Konut REIT,RealEstate,EKGYO.IS,EQ,
Enka Insaat,Industrials,ENKAI.IS,EQ,
Arcelik,ConsumerDisc,ARCLK.IS,EQ,
Sisecam,Materials,SISE.IS,EQ,
Coca-Cola Icecek,Consumer Staples,CCOLA.IS,EQ,
Anadolu Efes,Consumer Staples,AEFES.IS,EQ,
Migros Ticaret,Consumer Staples,MGROS.IS,EQ,
Aydem Yenilenebilir,Utilities,AYDEM.IS,EQ,
Yapi Kredi Koray,RealEstate,YKGYO.IS,EQ,
Gubre Fabrikalari,Materials,GUBRF.IS,EQ,
Turkiye Sigorta,Financials,TURSG.IS,EQ,
Aygaz,Energy,AYGAZ.IS,EQ,
Dogan Holding,Industrials,DOHOL.IS,EQ,
Vestel Elektronik,ConsumerDisc,VESTL.IS,EQ,
Sok Marketler,Consumer Staples,SOKM.IS,EQ,
Ulker Biskuvi,Consumer Staples,ULKER.IS,EQ,
Tav Havalimanlari,Industrials,TAVHL.IS,EQ,
Turk Traktor,ConsumerDisc,TTRAK.IS,EQ,
Dogus Otomotiv,ConsumerDisc,DOAS.IS,EQ,
Tekfen Holding,Industrials,TKFEN.IS,EQ,
Alarko Holding,Industrials,ALARK.IS,EQ,
Mavi Giyim,ConsumerDisc,MAVI.IS,EQ,
Bizim Toptan,Consumer Staples,BIZIM.IS,EQ,
Hektas,Materials,HEKTS.IS,EQ,
Brisa Bridgestone,ConsumerDisc,BRISA.IS,EQ,
Goodyear Lastikleri,ConsumerDisc,GOODY.IS,EQ,
Otokar,ConsumerDisc,OTKAR.IS,EQ,
Karsan Otomotiv,ConsumerDisc,KARSN.IS,EQ,
Akcansa Cimento,Materials,AKCNS.IS,EQ,
Cimsa Cimento,Materials,CIMSA.IS,EQ,
Oyak Cimento,Materials,OYAKC.IS,EQ,
Tureks Turizm,Industrials,TUREX.IS,EQ,
Yatas,ConsumerDisc,YATAS.IS,EQ,
Logo Yazilim,Technology,LOGO.IS,EQ,
Reeder Teknoloji,Technology,REEDR.IS,EQ,
Astor Enerji,Industrials,ASTOR.IS,EQ,
Smart Gunes Enerjisi,Energy,SMRTG.IS,EQ,
Mia Teknoloji,Technology,MIATK.IS,EQ,
Enerjisa Enerji,Utilities,ENJSA.IS,EQ,
Aksa Enerji,Utilities,AKSEN.IS,EQ,
Zorlu Enerji,Utilities,ZOREN.IS,EQ,
Vestel Beyaz Esya,ConsumerDisc,VESBE.IS,EQ,
Turk Demir Dokum,ConsumerDisc,DOKTA.IS,EQ,
