Company Name,Industry,Symbol,Series,ISIN Code
Ford Otosan,Consumer Discretionary,FROTO.IS,EQ,
Tofas Turk Otomobil,Consumer Discretionary,TOASO.IS,EQ,
Arcelik,Consumer Discretionary,ARCLK.IS,EQ,
Vestel Elektronik,Consumer Discretionary,VESTL.IS,EQ,
Turk Traktor,Consumer Discretionary,TTRAK.IS,EQ,
Dogus Otomotiv,Consumer Discretionary,DOAS.IS,EQ,
Mavi Giyim,Consumer Discretionary,MAVI.IS,EQ,
Brisa Bridgestone,Consumer Discretionary,BRISA.IS,EQ,
Goodyear Lastikleri,Consumer Discretionary,GOODY.IS,EQ,
Otokar,Consumer Discretionary,OTKAR.IS,EQ,
Karsan Otomotiv,Consumer Discretionary,KARSN.IS,EQ,
Yatas,Consumer Discretionary,YATAS.IS,EQ,
Vestel Beyaz Esya,Consumer Discretionary,VESBE.IS,EQ,
Turk Demir Dokum,Consumer Discretionary,DOKTA.IS,EQ,
