Company Name,Industry,Symbol,Series,ISIN Code
Koc Holding,Industrials,KCHOL.IS,EQ,
Aselsan,Industrials,ASELS.IS,EQ,
Sabanci Holding,Industrials,SAHOL.IS,EQ,
Turk Hava Yollari (THY),Industrials,THYAO.IS,EQ,
Pegasus Hava Tasimaciligi,Industrials,PGSUS.IS,EQ,
Enka Insaat,Industrials,ENKAI.IS,EQ,
Dogan Holding,Industrials,DOHOL.IS,EQ,
Tav Havalimanlari,Industrials,TAVHL.IS,EQ,
Tekfen Holding,Industrials,TKFEN.IS,EQ,
Alarko Holding,Industrials,ALARK.IS,EQ,
Tureks Turizm,Industrials,TUREX.IS,EQ,
Astor Enerji,Industrials,ASTOR.IS,EQ,
