Company Name,Industry,Symbol,Series,ISIN Code
Cheng Shin Rubber,Consumer Discretionary,2105.TW,EQ,
Giant Manufacturing,Consumer Discretionary,9921.TW,EQ,
Merida Industry,Consumer Discretionary,9914.TW,EQ,
Eclat Textile,Consumer Discretionary,1476.TW,EQ,
Pou Chen,Consumer Discretionary,9904.TW,EQ,
Feng TAY Enterprise,Consumer Discretionary,9910.TW,EQ,
Pchome Online Inc,Consumer Discretionary,8044.TW,EQ,
momo.com Inc,Consumer Discretionary,8454.TW,EQ,
Makalot Industrial Co Ltd,Consumer Discretionary,1477.TW,EQ,
Hotai Motor Co Ltd,Consumer Discretionary,2207.TW,EQ,
Yulon Motor Co Ltd,Consumer Discretionary,2201.TW,EQ,
Kenda Rubber Industrial Co Ltd,Consumer Discretionary,2106.TW,EQ,
