Company Name,Industry,Symbol,Series,ISIN Code
Cathay Financial,Financials,2882.TW,EQ,
Fubon Financial,Financials,2881.TW,EQ,
Mega Financial,Financials,2886.TW,EQ,
CTBC Financial,Financials,2891.TW,EQ,
E.SUN Financial,Financials,2884.TW,EQ,
First Financial Holding,Financials,2892.TW,EQ,
Hua Nan Financial,Financials,2880.TW,EQ,
Taishin Financial,Financials,2887.TW,EQ,
SinoPac Financial,Financials,2890.TW,EQ,
Yuanta Financial,Financials,2885.TW,EQ,
Shin Kong Financial,Financials,2888.TW,EQ,
Chang Hwa Bank,Financials,2801.TW,EQ,
Chailease Holding,Financials,5871.TW,EQ,
China Development Financial Holding,Financials,2883.TW,EQ,
