Company Name,Industry,Symbol,Series,ISIN Code
Catcher Technology,Industrials,2474.TW,EQ,
Yageo,Industrials,2327.TW,EQ,
Wistron,Industrials,3231.TW,EQ,
Acer,Industrials,2353.TW,EQ,
ASUS (Asustek),Industrials,2357.TW,EQ,
Evergreen Marine,Industrials,2603.TW,EQ,
Yang Ming Marine,Industrials,2609.TW,EQ,
Wan Hai Lines,Industrials,2615.TW,EQ,
China Airlines,Industrials,2610.TW,EQ,
EVA Airways,Industrials,2618.TW,EQ,
Fortune Electric,Industrials,1519.TW,EQ,
Taiwan High Speed Rail Corp,Industrials,2633.TW,EQ,
Taoyuan International Airport,Industrials,2601.TW,EQ,
