Company Name,Industry,Symbol,Series,ISIN Code
Taiwan Semiconductor,Technology,2330.TW,EQ,
MediaTek,Technology,2454.TW,EQ,
Hon Hai Precision,Technology,2317.TW,EQ,
Delta Electronics,Technology,2308.TW,EQ,
Largan Precision,Technology,3008.TW,EQ,
ASE Technology,Technology,3711.TW,EQ,
Novatek Microelectronics,Technology,3034.TW,EQ,
Realtek Semiconductor,Technology,2379.TW,EQ,
United Microelectronics,Technology,2303.TW,EQ,
eMemory Technology,Technology,3529.TW,EQ,
Wiwynn,Technology,6669.TW,EQ,
Inventec,Technology,2356.TW,EQ,
Quanta Computer,Technology,2382.TW,EQ,
Compal Electronics,Technology,2324.TW,EQ,
Pegatron,Technology,4938.TW,EQ,
Nanya Technology,Technology,2408.TW,EQ,
Powerchip Semiconductor,Technology,6770.TW,EQ,
Vanguard International Semiconductor,Technology,5347.TWO,EQ,
Global Unichip,Technology,3443.TW,EQ,
Parade Technologies,Technology,4966.TWO,EQ,
Alchip Technologies,Technology,3661.TW,EQ,
King Yuan Electronics,Technology,2449.TW,EQ,
Lite-On Technology,Technology,2301.TW,EQ,
Advantech,Technology,2395.TW,EQ,
Synnex Technology,Technology,2347.TW,EQ,
Gigabyte Technology,Technology,2376.TW,EQ,
Micro-Star International,Technology,2377.TW,EQ,
Innolux Corporation,Technology,3481.TW,EQ,
Elan Microelectronics Corp,Technology,2458.TW,EQ,
WPG Holdings Ltd,Technology,3702.TW,EQ,
Primax Electronics Ltd,Technology,4915.TW,EQ,
AUO Corporation,Technology,2409.TW,EQ,
Himax Technologies Inc,Technology,3036.TW,EQ,
Silergy Corp,Technology,6415.TW,EQ,
Phison Electronics Corp,Technology,8299.TW,EQ,
Silicon Motion Technology Corp,Technology,8150.TW,EQ,
Genius Electronic Optical Co Ltd,Technology,3406.TW,EQ,
