Company Name,Industry,Symbol,Series,ISIN Code
Taiwan Semiconductor,Technology,2330.TW,EQ,
MediaTek,Technology,2454.TW,EQ,
Hon Hai Precision,Technology,2317.TW,EQ,
Delta Electronics,Technology,2308.TW,EQ,
Largan Precision,Technology,3008.TW,EQ,
ASE Technology,Technology,3711.TW,EQ,
Novatek Microelectronics,Technology,3034.TW,EQ,
Realtek Semiconductor,Technology,2379.TW,EQ,
Compal Electronics,Technology,2324.TW,EQ,
Pegatron,Technology,4938.TW,EQ,
Chunghwa Telecom,Communication Services,2412.TW,EQ,
Cathay Financial,Financials,2882.TW,EQ,
Fubon Financial,Financials,2881.TW,EQ,
Mega Financial,Financials,2886.TW,EQ,
CTBC Financial,Financials,2891.TW,EQ,
E.SUN Financial,Financials,2884.TW,EQ,
China Steel,Materials,2002.TW,EQ,
Formosa Plastics,Materials,1301.TW,EQ,
Formosa Petrochemical,Energy,6505.TW,EQ,
Formosa Chemicals,Materials,1326.TW,EQ,
Nan Ya Plastics,Materials,1303.TW,EQ,
Taiwan Cement,Materials,1101.TW,EQ,
Asia Cement,Materials,1102.TW,EQ,
Uni-President Enterprises,Consumer Staples,1216.TW,EQ,
President Chain Store,Consumer Staples,2912.TW,EQ,
Wistron,Industrials,3231.TW,EQ,
Acer,Industrials,2353.TW,EQ,
ASUS (Asustek),Industrials,2357.TW,EQ,
Cheng Shin Rubber,Consumer Discretionary,2105.TW,EQ,
Giant Manufacturing,Consumer Discretionary,9921.TW,EQ,
Merida Industry,Consumer Discretionary,9914.TW,EQ,
King Yuan Electronics,Technology,2449.TW,EQ,
Advantech,Technology,2395.TW,EQ,
Micro-Star International,Technology,2377.TW,EQ,
Evergreen Marine,Industrials,2603.TW,EQ,
Yang Ming Marine,Industrials,2609.TW,EQ,
China Airlines,Industrials,2610.TW,EQ,
EVA Airways,Industrials,2618.TW,EQ,
Chailease Holding,Financials,5871.TW,EQ,
Innolux Corporation,Technology,3481.TW,EQ,
PX Mart Co Ltd,Consumer Staples,8277.TW,EQ,
Pchome Online Inc,Consumer Discretionary,8044.TW,EQ,
momo.com Inc,Consumer Discretionary,8454.TW,EQ,
Elan Microelectronics Corp,Technology,2458.TW,EQ,
WPG Holdings Ltd,Technology,3702.TW,EQ,
AUO Corporation,Technology,2409.TW,EQ,
Taiwan Power Company,Utilities,9901.TW,EQ,
Hotai Motor Co Ltd,Consumer Discretionary,2207.TW,EQ,
Yulon Motor Co Ltd,Consumer Discretionary,2201.TW,EQ,
