Company Name,Industry,Symbol,Reason
Phoenix Group Holdings plc,Financials,PHNX.L,Removed from FTSE 350
Spectris plc,Technology,SXS.L,Removed from FTSE 350
Spirent Communications plc,Technology,SPT.L,Removed from FTSE 350
Wise plc,Financials,WISE.L,Removed from FTSE 350
Ultra Electronics Holdings plc,Industrials,ULE.L,Removed from FTSE 350
Virgin Money UK plc,Financials,VMUK.L,Removed from FTSE 350
Aldermore Group plc,Financials,ALD.L,Removed from FTSE 350
Intermediate Capital Group plc,Financials,ICP.L,Removed from FTSE 350
Liontrust Asset Management plc,Financials,LIO.L,Removed from FTSE 350
Polar Capital Holdings plc,Financials,POLR.L,Removed from FTSE 350
Asos plc,Consumer Discretionary,ASC.L,Removed from FTSE 350
Boohoo Group plc,Consumer Discretionary,BOO.L,Removed from FTSE 350
Card Factory plc,Consumer Discretionary,CARD.L,Removed from FTSE 350
Cineworld Group plc,Consumer Discretionary,CINE.L,Removed from FTSE 350
Countryside Partnerships plc,Real Estate,CSP.L,Removed from FTSE 350
Fuller Smith & Turner plc,Consumer Discretionary,FSTA.L,Removed from FTSE 350
Gym Group plc,Consumer Discretionary,GYM.L,Removed from FTSE 350
Loungers plc,Consumer Discretionary,LGRS.L,Removed from FTSE 350
Marks Electrical Group plc,Consumer Discretionary,MRK.L,Removed from FTSE 350
On the Beach Group plc,Consumer Discretionary,OTB.L,Removed from FTSE 350
Spectator Group plc,Consumer Discretionary,SPE.L,Removed from FTSE 350
Devro plc,Consumer Staples,DVO.L,Removed from FTSE 350
Treatt plc,Consumer Staples,TET.L,Removed from FTSE 350
Clinigen Group plc,Health Care,CLIN.L,Removed from FTSE 350
Dechra Pharmaceuticals plc,Health Care,DPH.L,Removed from FTSE 350
Eumedics Group plc,Health Care,EMI.L,Removed from FTSE 350
Indivior plc,Health Care,INDV.L,Removed from FTSE 350
NMC Health plc,Health Care,NMC.L,Removed from FTSE 350
PureTech Health plc,Health Care,PRTC.L,Removed from FTSE 350
Electrocomponents plc,Industrials,ECM.L,Removed from FTSE 350
Essentra plc,Industrials,ESNT.L,Removed from FTSE 350
John Wood Group plc,Industrials,WG.L,Removed from FTSE 350
Low & Bonar plc,Industrials,LWB.L,Removed from FTSE 350
Norcros plc,Industrials,NXR.L,Removed from FTSE 350
Polypipe Group plc,Industrials,PLP.L,Removed from FTSE 350
Ricardo plc,Industrials,RCDO.L,Removed from FTSE 350
RPS Group plc,Industrials,RPS.L,Removed from FTSE 350
Severfield plc,Industrials,SFR.L,Removed from FTSE 350
SThree plc,Industrials,STEM.L,Removed from FTSE 350
TI Fluid Systems plc,Industrials,TIFS.L,Removed from FTSE 350
Vitec Group plc,Industrials,VTC.L,Removed from FTSE 350
Wincanton plc,Industrials,WIN.L,Removed from FTSE 350
CLS Holdings plc,Real Estate,CLI.L,Removed from FTSE 350
Empiric Student Property plc,Real Estate,ESP.L,Removed from FTSE 350
Impact Healthcare REIT plc,Real Estate,IHR.L,Removed from FTSE 350
Industrials REIT plc,Real Estate,MLI.L,Removed from FTSE 350
NewRiver REIT plc,Real Estate,NRR.L,Removed from FTSE 350
Picton Property Income Ltd,Real Estate,PCTN.L,Removed from FTSE 350
Urban Logistics REIT plc,Real Estate,SHED.L,Removed from FTSE 350
Future plc,Communication Services,FUTR.L,Removed from FTSE 350
Hyve Group plc,Communication Services,HYVE.L,Removed from FTSE 350
RWS Holdings plc,Technology,RWS.L,Removed from FTSE 350
S4 Capital plc,Communication Services,SFOR.L,Removed from FTSE 350
Team17 Group plc,Technology,TM17.L,Removed from FTSE 350
YouGov plc,Technology,YOU.L,Removed from FTSE 350
Cairn Energy plc,Energy,CNE.L,Removed from FTSE 350
Premier Oil plc,Energy,PMO.L,Removed from FTSE 350
Synthomer plc,Materials,SYNT.L,Removed from FTSE 350
