Company Name,Industry,Symbol,Series,ISIN Code
3i Group plc,Financials,III.L,EQ,
Admiral Group plc,Financials,ADM.L,EQ,
Airtel Africa plc,Communication Services,AAF.L,EQ,
Alliance Witan plc,Financials,ALW.L,EQ,
Anglo American plc,Materials,AAL.L,EQ,
Antofagasta plc,Materials,ANTO.L,EQ,
Associated British Foods plc,Consumer Staples,ABF.L,EQ,
AstraZeneca plc,Health Care,AZN.L,EQ,
Auto Trader Group plc,Communication Services,AUTO.L,EQ,
Aviva plc,Financials,AV.L,EQ,
Babcock International Group plc,Industrials,BAB.L,EQ,
BAE Systems plc,Industrials,BA.L,EQ,
Barclays plc,Financials,BARC.L,EQ,
Barratt Redrow plc,Real Estate,BTRW.L,EQ,
Beazley plc,Financials,BEZ.L,EQ,
Berkeley Group Holdings plc,Real Estate,BKG.L,EQ,
BP plc,Energy,BP.L,EQ,
British American Tobacco plc,Consumer Staples,BATS.L,EQ,
British Land Company plc,Real Estate,BLND.L,EQ,
BT Group plc,Communication Services,BT-A.L,EQ,
Bunzl plc,Industrials,BNZL.L,EQ,
Burberry Group plc,Consumer Discretionary,BRBY.L,EQ,
Centrica plc,Utilities,CNA.L,EQ,
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP.L,EQ,
Coca-Cola HBC AG,Consumer Staples,CCH.L,EQ,
Compass Group plc,Industrials,CPG.L,EQ,
ConvaTec Group plc,Health Care,CTEC.L,EQ,
Croda International plc,Materials,CRDA.L,EQ,
DCC plc,Industrials,DCC.L,EQ,
Diageo plc,Consumer Staples,DGE.L,EQ,
Diploma plc,Industrials,DPLM.L,EQ,
Endeavour Mining plc,Materials,EDV.L,EQ,
Entain plc,Consumer Discretionary,ENT.L,EQ,
easyJet plc,Industrials,EZJ.L,EQ,
Experian plc,Industrials,EXPN.L,EQ,
F&C Investment Trust plc,Financials,FCIT.L,EQ,
Fresnillo plc,Materials,FRES.L,EQ,
Games Workshop Group plc,Consumer Discretionary,GAW.L,EQ,
Glencore plc,Materials,GLEN.L,EQ,
GSK plc,Health Care,GSK.L,EQ,
Haleon plc,Health Care,HLN.L,EQ,
Halma plc,Technology,HLMA.L,EQ,
Hikma Pharmaceuticals plc,Health Care,HIK.L,EQ,
Hiscox Ltd,Financials,HSX.L,EQ,
Howdens Joinery Group plc,Consumer Discretionary,HWDN.L,EQ,
HSBC Holdings plc,Financials,HSBA.L,EQ,
ICG Group plc,Financials,ICG.L,EQ,
IHG Hotels & Resorts,Consumer Discretionary,IHG.L,EQ,
IMI plc,Industrials,IMI.L,EQ,
Imperial Brands plc,Consumer Staples,IMB.L,EQ,
Informa plc,Communication Services,INF.L,EQ,
International Consolidated Airlines Group,Industrials,IAG.L,EQ,
Intertek Group plc,Industrials,ITRK.L,EQ,
JD Sports Fashion plc,Consumer Discretionary,JD.L,EQ,
Kingfisher plc,Consumer Discretionary,KGF.L,EQ,
Land Securities Group plc,Real Estate,LAND.L,EQ,
Legal & General Group plc,Financials,LGEN.L,EQ,
Lloyds Banking Group plc,Financials,LLOY.L,EQ,
LondonMetric Property plc,Real Estate,LMP.L,EQ,
London Stock Exchange Group plc,Financials,LSEG.L,EQ,
M&G plc,Financials,MNG.L,EQ,
Marks and Spencer Group plc,Consumer Discretionary,MKS.L,EQ,
Melrose Industries plc,Industrials,MRO.L,EQ,
Metlen Energy & Metals SA,Utilities,MTLN.L,EQ,
Mondi plc,Materials,MNDI.L,EQ,
National Grid plc,Utilities,NG.L,EQ,
NatWest Group plc,Financials,NWG.L,EQ,
Next plc,Consumer Discretionary,NXT.L,EQ,
Pearson plc,Communication Services,PSON.L,EQ,
Pershing Square Holdings Ltd,Financials,PSH.L,EQ,
Persimmon plc,Real Estate,PSN.L,EQ,
Phoenix Group Holdings plc,Financials,PHNX.L,EQ,
Polar Capital Technology Trust plc,Financials,PCT.L,EQ,
Prudential plc,Financials,PRU.L,EQ,
Reckitt Benckiser Group plc,Consumer Staples,RKT.L,EQ,
RELX plc,Industrials,REL.L,EQ,
Rentokil Initial plc,Industrials,RTO.L,EQ,
Rio Tinto Group,Materials,RIO.L,EQ,
Rightmove plc,Communication Services,RMV.L,EQ,
Rolls-Royce Holdings plc,Industrials,RR.L,EQ,
RS Group plc,Industrials,RS1.L,EQ,
Sage Group plc,Technology,SGE.L,EQ,
Schroders plc,Financials,SDR.L,EQ,
Segro plc,Real Estate,SGRO.L,EQ,
Severn Trent plc,Utilities,SVT.L,EQ,
Shell plc,Energy,SHEL.L,EQ,
Smith & Nephew plc,Health Care,SN.L,EQ,
Smiths Group plc,Industrials,SMIN.L,EQ,
Spectris plc,Technology,SXS.L,EQ,
Spirent Communications plc,Technology,SPT.L,EQ,
SSE plc,Utilities,SSE.L,EQ,
Standard Chartered plc,Financials,STAN.L,EQ,
St. James's Place plc,Financials,STJ.L,EQ,
Taylor Wimpey plc,Real Estate,TW.L,EQ,
Tesco plc,Consumer Staples,TSCO.L,EQ,
Travis Perkins plc,Industrials,TPK.L,EQ,
Unilever plc,Consumer Staples,ULVR.L,EQ,
United Utilities Group plc,Utilities,UU.L,EQ,
Vodafone Group plc,Communication Services,VOD.L,EQ,
Weir Group plc,Industrials,WEIR.L,EQ,
WPP plc,Communication Services,WPP.L,EQ,
Wise plc,Financials,WISE.L,EQ,
