Company Name,Industry,Symbol,Series,ISIN Code
4imprint,Communication Services,FOUR.L,EQ,
Airtel Africa plc,Communication Services,AAF.L,EQ,
Auto Trader Group plc,Communication Services,AUTO.L,EQ,
BT Group,Communication Services,BT-A.L,EQ,
Baltic Classifieds,Communication Services,BCG.L,EQ,
Gamma Communications,Communication Services,GAMA.L,EQ,
Helios Towers,Communication Services,HTWS.L,EQ,
ITV,Communication Services,ITV.L,EQ,
Informa plc,Communication Services,INF.L,EQ,
MONY Group,Communication Services,MONY.L,EQ,
Pearson plc,Communication Services,PSON.L,EQ,
Rightmove plc,Communication Services,RMV.L,EQ,
Telecom Plus,Communication Services,TEP.L,EQ,
Vodafone Group plc,Communication Services,VOD.L,EQ,
WPP plc,Communication Services,WPP.L,EQ,
