Company Name,Industry,Symbol,Series,ISIN Code
AO World,Consumer Discretionary,AO.L,EQ,
Aston Martin Lagonda,Consumer Discretionary,AML.L,EQ,
B&M,Consumer Discretionary,BME.L,EQ,
Burberry Group plc,Consumer Discretionary,BRBY.L,EQ,
Currys plc,Consumer Discretionary,CURY.L,EQ,
Domino's Pizza,Consumer Discretionary,DOM.L,EQ,
Dr. Martens,Consumer Discretionary,DOCS.L,EQ,
Dunelm Group plc,Consumer Discretionary,DNLM.L,EQ,
Entain plc,Consumer Discretionary,ENT.L,EQ,
FirstGroup,Consumer Discretionary,FGP.L,EQ,
Frasers Group,Consumer Discretionary,FRAS.L,EQ,
Games Workshop Group plc,Consumer Discretionary,GAW.L,EQ,
Hollywood Bowl Group plc,Consumer Discretionary,BOWL.L,EQ,
Howdens Joinery Group plc,Consumer Discretionary,HWDN.L,EQ,
IHG Hotels & Resorts,Consumer Discretionary,IHG.L,EQ,
Inchcape,Consumer Discretionary,INCH.L,EQ,
JD Sports Fashion plc,Consumer Discretionary,JD.L,EQ,
Kingfisher plc,Consumer Discretionary,KGF.L,EQ,
ME Group International,Consumer Discretionary,MEGP.L,EQ,
Marks and Spencer Group plc,Consumer Discretionary,MKS.L,EQ,
Mitchells & Butlers,Consumer Discretionary,MAB.L,EQ,
Moonpig Group plc,Consumer Discretionary,MOON.L,EQ,
Next plc,Consumer Discretionary,NXT.L,EQ,
PPHE Hotel Group,Consumer Discretionary,PPH.L,EQ,
Pets at Home,Consumer Discretionary,PETS.L,EQ,
Rank Group plc,Consumer Discretionary,RNK.L,EQ,
SSP Group,Consumer Discretionary,SSPG.L,EQ,
Saga,Consumer Discretionary,SAGA.L,EQ,
Trainline plc,Consumer Discretionary,TRN.L,EQ,
WHSmith,Consumer Discretionary,SMWH.L,EQ,
Watches of Switzerland Group plc,Consumer Discretionary,WOSG.L,EQ,
Wetherspoons,Consumer Discretionary,JDW.L,EQ,
Whitbread,Consumer Discretionary,WTB.L,EQ,
Wickes,Consumer Discretionary,WIX.L,EQ,
Wizz Air,Consumer Discretionary,WIZZ.L,EQ,
