Company Name,Industry,Symbol,Series,ISIN Code
A.G. Barr,Consumer Staples,BAG.L,EQ,
AEP Plantations,Consumer Staples,AEP.L,EQ,
Applied Nutrition,Consumer Staples,APN.L,EQ,
Associated British Foods plc,Consumer Staples,ABF.L,EQ,
British American Tobacco plc,Consumer Staples,BATS.L,EQ,
C&C Group,Consumer Staples,CCR.L,EQ,
Coats Group,Consumer Staples,COA.L,EQ,
Coca-Cola Europacific Partners plc,Consumer Staples,CCEP.L,EQ,
Coca-Cola HBC AG,Consumer Staples,CCH.L,EQ,
Cranswick plc,Consumer Staples,CWK.L,EQ,
Diageo plc,Consumer Staples,DGE.L,EQ,
Greencore,Consumer Staples,GNC.L,EQ,
Greggs,Consumer Staples,GRG.L,EQ,
Hilton Food Group plc,Consumer Staples,HFG.L,EQ,
Imperial Brands plc,Consumer Staples,IMB.L,EQ,
Premier Foods plc,Consumer Staples,PFD.L,EQ,
Princes Group,Consumer Staples,PRN.L,EQ,
Reckitt Benckiser Group plc,Consumer Staples,RKT.L,EQ,
Sainsbury's,Consumer Staples,SBRY.L,EQ,
THG,Consumer Staples,THG.L,EQ,
Tate & Lyle,Consumer Staples,TATE.L,EQ,
Tesco plc,Consumer Staples,TSCO.L,EQ,
Unilever plc,Consumer Staples,ULVR.L,EQ,
