Company Name,Industry,Symbol,Series,ISIN Code
3i Group plc,Financials,III.L,EQ,
3i Infrastructure,Financials,3IN.L,EQ,
AJ Bell,Financials,AJB.L,EQ,
AVI Global Trust,Financials,AGT.L,EQ,
Aberdeen Asia Focus,Financials,AAS.L,EQ,
Aberdeen Group,Financials,ABDN.L,EQ,
Aberforth Smaller Companies Trust,Financials,ASL.L,EQ,
Admiral Group plc,Financials,ADM.L,EQ,
Alliance Witan plc,Financials,ALW.L,EQ,
Allianz Technology Trust,Financials,ATT.L,EQ,
Ashmore Group,Financials,ASHM.L,EQ,
Ashoka India Equity Investment Trust,Financials,AIE.L,EQ,
Aviva plc,Financials,AV.L,EQ,
BH Macro,Financials,BHMG.L,EQ,
Baillie Gifford Japan Trust,Financials,BGFD.L,EQ,
Baillie Gifford US Growth Trust,Financials,USA.L,EQ,
Bankers Investment Trust,Financials,BNKR.L,EQ,
Barclays plc,Financials,BARC.L,EQ,
Beazley plc,Financials,BEZ.L,EQ,
Biopharma Credit,Financials,BPCR.L,EQ,
BlackRock Greater Europe Investment Trust,Financials,BRGE.L,EQ,
BlackRock Smaller Companies Trust,Financials,BRSC.L,EQ,
BlackRock World Mining Trust,Financials,BRWM.L,EQ,
Bluefield Solar Income Fund,Financials,BSIF.L,EQ,
Bridgepoint Group,Financials,BPT.L,EQ,
Brunner Investment Trust,Financials,BUT.L,EQ,
CMC Markets,Financials,CMCX.L,EQ,
Caledonia Investments,Financials,CLDN.L,EQ,
Capital Gearing Trust,Financials,CGT.L,EQ,
Chesnara,Financials,CSN.L,EQ,
Chrysalis Investments,Financials,CHRY.L,EQ,
City of London Investment Trust,Financials,CTY.L,EQ,
Close Brothers Group plc,Financials,CBG.L,EQ,
Edinburgh Investment Trust,Financials,EDIN.L,EQ,
Edinburgh Worldwide Investment Trust,Financials,EWI.L,EQ,
European Smaller Companies Trust,Financials,ESCT.L,EQ,
Eurowag,Financials,EWG.L,EQ,
F&C Investment Trust plc,Financials,FCIT.L,EQ,
Fidelity China Special Situations,Financials,FCSS.L,EQ,
Fidelity Emerging Markets,Financials,FEML.L,EQ,
Fidelity European Trust,Financials,FEV.L,EQ,
Fidelity Special Values,Financials,FSV.L,EQ,
Finsbury Growth & Income Trust,Financials,FGT.L,EQ,
Foresight Environmental Infrastructure,Financials,FGEN.L,EQ,
Foresight Group,Financials,FSG.L,EQ,
Funding Circle,Financials,FCH.L,EQ,
GCP Infrastructure Investments,Financials,GCP.L,EQ,
Global Smaller Companies Trust,Financials,GSCT.L,EQ,
Grainger,Financials,GRI.L,EQ,
HICL Infrastructure Company,Financials,HICL.L,EQ,
HSBC Holdings plc,Financials,HSBA.L,EQ,
Hammerson,Financials,HMSO.L,EQ,
HarbourVest Global Private Equity,Financials,HVPE.L,EQ,
Henderson Far East Income,Financials,HFEL.L,EQ,
Henderson Smaller Companies Investment Trust,Financials,HSL.L,EQ,
Herald Investment Trust,Financials,HRI.L,EQ,
Hg Capital Trust,Financials,HGT.L,EQ,
Hiscox Ltd,Financials,HSX.L,EQ,
ICG Enterprise Trust,Financials,ICGT.L,EQ,
ICG Group plc,Financials,ICG.L,EQ,
IG Group,Financials,IGG.L,EQ,
IP Group,Financials,IPO.L,EQ,
Impax Environmental Markets,Financials,IEM.L,EQ,
IntegraFin Holdings plc,Financials,IHP.L,EQ,
International Personal Finance,Financials,IPF.L,EQ,
