Company Name,Industry,Symbol,Series,ISIN Code
AstraZeneca plc,Health Care,AZN.L,EQ,
CVS Group,Health Care,CVSG.L,EQ,
ConvaTec Group plc,Health Care,CTEC.L,EQ,
GSK plc,Health Care,GSK.L,EQ,
Genus plc,Health Care,GNS.L,EQ,
Haleon plc,Health Care,HLN.L,EQ,
Hikma Pharmaceuticals plc,Health Care,HIK.L,EQ,
Oxford Biomedica plc,Health Care,OXB.L,EQ,
Oxford Nanopore Technologies,Health Care,ONT.L,EQ,
Smith & Nephew plc,Health Care,SN.L,EQ,
Spire Healthcare,Health Care,SPI.L,EQ,
Syncona Ltd,Health Care,SYNC.L,EQ,
