Company Name,Industry,Symbol,Series,ISIN Code
Avon Technologies,Industrials,AVON.L,EQ,
BAE Systems plc,Industrials,BA.L,EQ,
Babcock International Group plc,Industrials,BAB.L,EQ,
Balfour Beatty,Industrials,BBY.L,EQ,
Bellway,Industrials,BWY.L,EQ,
Bodycote,Industrials,BOY.L,EQ,
Breedon Group,Industrials,BREE.L,EQ,
Bunzl plc,Industrials,BNZL.L,EQ,
Bytes Technology Group,Industrials,BYIT.L,EQ,
Chemring Group,Industrials,CHG.L,EQ,
Clarkson,Industrials,CKN.L,EQ,
Compass Group plc,Industrials,CPG.L,EQ,
Costain Group,Industrials,COST.L,EQ,
DCC plc,Industrials,DCC.L,EQ,
Diploma plc,Industrials,DPLM.L,EQ,
Experian plc,Industrials,EXPN.L,EQ,
Galliford Try,Industrials,GFRD.L,EQ,
Genuit Group,Industrials,GEN.L,EQ,
Goodwin,Industrials,GDWN.L,EQ,
Grafton Group plc,Industrials,GFTU.L,EQ,
Hays,Industrials,HAS.L,EQ,
Hill & Smith,Industrials,HILS.L,EQ,
Hunting plc,Industrials,HTG.L,EQ,
IMI plc,Industrials,IMI.L,EQ,
International Consolidated Airlines Group,Industrials,IAG.L,EQ,
International Workplace Group,Industrials,IWG.L,EQ,
Intertek Group plc,Industrials,ITRK.L,EQ,
Johnson Service Group,Industrials,JSG.L,EQ,
Keller Group plc,Industrials,KLR.L,EQ,
Kier Group,Industrials,KIE.L,EQ,
Marshalls plc,Industrials,MSLH.L,EQ,
Melrose Industries plc,Industrials,MRO.L,EQ,
Mitie,Industrials,MTO.L,EQ,
Morgan Advanced Materials plc,Industrials,MGAM.L,EQ,
Morgan Sindall Group plc,Industrials,MGNS.L,EQ,
PageGroup plc,Industrials,PAGE.L,EQ,
RELX plc,Industrials,REL.L,EQ,
RHI Magnesita,Industrials,RHIM.L,EQ,
RS Group plc,Industrials,RS1.L,EQ,
Rentokil Initial plc,Industrials,RTO.L,EQ,
Rolls-Royce Holdings plc,Industrials,RR.L,EQ,
Rotork plc,Industrials,ROR.L,EQ,
Senior plc,Industrials,SNR.L,EQ,
Serco,Industrials,SRP.L,EQ,
Smiths Group plc,Industrials,SMIN.L,EQ,
Spirax Group plc,Industrials,SPX.L,EQ,
TP ICAP,Industrials,TCAP.L,EQ,
Travis Perkins plc,Industrials,TPK.L,EQ,
Vesuvius plc,Industrials,VSVS.L,EQ,
Vistry Group,Industrials,VTY.L,EQ,
Volution Group plc,Industrials,FAN.L,EQ,
Weir Group plc,Industrials,WEIR.L,EQ,
XP Power,Industrials,XPP.L,EQ,
Zigup,Industrials,ZIG.L,EQ,
discoverIE,Industrials,DSCV.L,EQ,
easyJet plc,Industrials,EZJ.L,EQ,
