Company Name,Industry,Symbol,Series,ISIN Code
Anglo American plc,Materials,AAL.L,EQ,
Antofagasta plc,Materials,ANTO.L,EQ,
Atalaya Mining,Materials,ATYM.L,EQ,
Croda International plc,Materials,CRDA.L,EQ,
Elementis plc,Materials,ELM.L,EQ,
Endeavour Mining plc,Materials,EDV.L,EQ,
Fresnillo plc,Materials,FRES.L,EQ,
Glencore plc,Materials,GLEN.L,EQ,
Hochschild Mining,Materials,HOC.L,EQ,
Ibstock plc,Materials,IBST.L,EQ,
Johnson Matthey,Materials,JMAT.L,EQ,
Mondi plc,Materials,MNDI.L,EQ,
Pan African Resources,Materials,PAF.L,EQ,
Rio Tinto Group,Materials,RIO.L,EQ,
Victrex plc,Materials,VCT.L,EQ,
