Company Name,Industry,Symbol,Series,ISIN Code
Barratt Redrow plc,Real Estate,BTRW.L,EQ,
Berkeley Group Holdings plc,Real Estate,BKG.L,EQ,
Big Yellow Group plc,Real Estate,BYG.L,EQ,
British Land Company plc,Real Estate,BLND.L,EQ,
Derwent London plc,Real Estate,DLN.L,EQ,
Great Portland Estates plc,Real Estate,GPE.L,EQ,
Harworth Group,Real Estate,HWG.L,EQ,
Land Securities Group plc,Real Estate,LAND.L,EQ,
LondonMetric Property plc,Real Estate,LMP.L,EQ,
PHP – Primary Health Properties plc,Real Estate,PHP.L,EQ,
Persimmon plc,Real Estate,PSN.L,EQ,
Safestore Holdings plc,Real Estate,SAFE.L,EQ,
Segro plc,Real Estate,SGRO.L,EQ,
Sirius Real Estate Ltd,Real Estate,SRE.L,EQ,
Target Healthcare REIT plc,Real Estate,THRL.L,EQ,
Taylor Wimpey plc,Real Estate,TW.L,EQ,
Tritax Big Box REIT plc,Real Estate,BBOX.L,EQ,
Unite Students plc,Real Estate,UTG.L,EQ,
