Company Name,Industry,Symbol,Series,ISIN Code
Alfa Financial Software,Technology,ALFA.L,EQ,
Computacenter,Technology,CCC.L,EQ,
GB Group,Technology,GBG.L,EQ,
Halma plc,Technology,HLMA.L,EQ,
Kainos,Technology,KNOS.L,EQ,
NCC Group,Technology,NCC.L,EQ,
Ocado Group plc,Technology,OCDO.L,EQ,
Oxford Instruments,Technology,OXIG.L,EQ,
Playtech,Technology,PTEC.L,EQ,
QinetiQ Group plc,Technology,QQ.L,EQ,
Raspberry Pi Holdings,Technology,RPI.L,EQ,
Renishaw,Technology,RSW.L,EQ,
Sage Group plc,Technology,SGE.L,EQ,
Softcat,Technology,SCT.L,EQ,
Trustpilot Group plc,Technology,TRST.L,EQ,
