Company Name,Industry,Symbol,Series,ISIN Code
Naspers,Technology,NPN.JO,EQ,
Prosus,Technology,PRX.JO,EQ,
FirstRand,Financials,FSR.JO,EQ,
Standard Bank Group,Financials,SBK.JO,EQ,
Absa Group,Financials,ABG.JO,EQ,
Nedbank Group,Financials,NED.JO,EQ,
Capitec Bank,Financials,CPI.JO,EQ,
Sanlam,Financials,SLM.JO,EQ,
Old Mutual,Financials,OMU.JO,EQ,
Discovery,Financials,DSY.JO,EQ,
Anglo American,Materials,AGL.JO,EQ,
Anglo American Platinum,Materials,AMS.JO,EQ,
BHP Group,Materials,BHG.JO,EQ,
Kumba Iron Ore,Materials,KIO.JO,EQ,
Impala Platinum,Materials,IMP.JO,EQ,
Sibanye Stillwater,Materials,SSW.JO,EQ,
Gold Fields,Materials,GFI.JO,EQ,
AngloGold Ashanti,Materials,ANG.JO,EQ,
Harmony Gold,Materials,HAR.JO,EQ,
Exxaro Resources,Energy,EXX.JO,EQ,
Sasol,Energy,SOL.JO,EQ,
Shoprite Holdings,Consumer Staples,SHP.JO,EQ,
Bid Corporation,Consumer Staples,BID.JO,EQ,
Bidvest Group,Industrials,BVT.JO,EQ,
Woolworths Holdings,Consumer Staples,WHL.JO,EQ,
Pick n Pay,Consumer Staples,PIK.JO,EQ,
SPAR Group,Consumer Staples,SPP.JO,EQ,
Clicks Group,Consumer Staples,CLS.JO,EQ,
Mr Price Group,Consumer Discretionary,MRP.JO,EQ,
Truworths,Consumer Discretionary,TRU.JO,EQ,
Foschini Group,Consumer Discretionary,TFG.JO,EQ,
MTN Group,Communication Services,MTN.JO,EQ,
Vodacom Group,Communication Services,VOD.JO,EQ,
Telkom SA,Communication Services,TKG.JO,EQ,
Growthpoint Properties,Real Estate,GRT.JO,EQ,
Redefine Properties,Real Estate,RDF.JO,EQ,
Mondi,Materials,MNP.JO,EQ,
Sappi,Materials,SAP.JO,EQ,
Aspen Pharmacare,Health Care,APN.JO,EQ,
Netcare,Health Care,NTC.JO,EQ,
Tiger Brands,Consumer Staples,TBS.JO,EQ,
AVI Limited,Consumer Staples,AVI.JO,EQ,
Compagnie Financiere Richemont,Consumer Discretionary,CFR.JO,EQ,
British American Tobacco,Consumer Staples,BTI.JO,EQ,
Anheuser-Busch InBev,Consumer Staples,ANH.JO,EQ,
Glencore,Materials,GLN.JO,EQ,
Investec,Financials,INL.JO,EQ,
Investec Plc,Financials,INP.JO,EQ,
Remgro,Financials,REM.JO,EQ,
RMB Holdings,Financials,RMH.JO,EQ,
Rand Merchant Investment,Financials,RMI.JO,EQ,
Reinet Investments,Financials,RNI.JO,EQ,
PSG Konsult,Financials,KST.JO,EQ,
Quilter,Financials,QLT.JO,EQ,
Ninety One,Financials,NY1.JO,EQ,
Coronation Fund Managers,Financials,CML.JO,EQ,
Momentum Metropolitan,Financials,MTM.JO,EQ,
Northam Platinum,Materials,NPH.JO,EQ,
African Rainbow Minerals,Materials,ARI.JO,EQ,
Royal Bafokeng Platinum,Materials,RBP.JO,EQ,
Pan African Resources,Materials,PAN.JO,EQ,
DRDGold,Materials,DRD.JO,EQ,
Thungela Resources,Energy,TGA.JO,EQ,
Multichoice Group,Communication Services,MCG.JO,EQ,
Distell Group,Consumer Staples,DGH.JO,EQ,
Astral Foods,Consumer Staples,ARL.JO,EQ,
RCL Foods,Consumer Staples,RCL.JO,EQ,
Famous Brands,Consumer Discretionary,FBR.JO,EQ,
Pepkor Holdings,Consumer Discretionary,PPH.JO,EQ,
Cashbuild,Consumer Discretionary,CSB.JO,EQ,
Italtile,Consumer Discretionary,ITE.JO,EQ,
Massmart Holdings,Consumer Staples,MSM.JO,EQ,
Life Healthcare Group,Health Care,LHC.JO,EQ,
Mediclinic International,Health Care,MEI.JO,EQ,
Hyprop Investments,Real Estate,HYP.JO,EQ,
Resilient REIT,Real Estate,RES.JO,EQ,
Fortress Real Estate,Real Estate,FFB.JO,EQ,
NEPI Rockcastle,Real Estate,NRP.JO,EQ,
Vukile Property Fund,Real Estate,VKE.JO,EQ,
Barloworld,Industrials,BAW.JO,EQ,
Imperial Logistics,Industrials,IPL.JO,EQ,
Super Group,Industrials,SPG.JO,EQ,
Reunert,Industrials,RLO.JO,EQ,
Grindrod,Industrials,GND.JO,EQ,
Datatec,Technology,DTC.JO,EQ,
