Company Name,Industry,Symbol,Series,ISIN Code
Shoprite Holdings,Consumer Staples,SHP.JO,EQ,
Bid Corporation,Consumer Staples,BID.JO,EQ,
Woolworths Holdings,Consumer Staples,WHL.JO,EQ,
Pick n Pay,Consumer Staples,PIK.JO,EQ,
SPAR Group,Consumer Staples,SPP.JO,EQ,
Clicks Group,Consumer Staples,CLS.JO,EQ,
Tiger Brands,Consumer Staples,TBS.JO,EQ,
AVI Limited,Consumer Staples,AVI.JO,EQ,
British American Tobacco,Consumer Staples,BTI.JO,EQ,
Anheuser-Busch InBev,Consumer Staples,ANH.JO,EQ,
Distell Group,Consumer Staples,DGH.JO,EQ,
Astral Foods,Consumer Staples,ARL.JO,EQ,
RCL Foods,Consumer Staples,RCL.JO,EQ,
Massmart Holdings,Consumer Staples,MSM.JO,EQ,
