Company Name,Industry,Symbol,Series,ISIN Code
FirstRand,Financials,FSR.JO,EQ,
Standard Bank Group,Financials,SBK.JO,EQ,
Absa Group,Financials,ABG.JO,EQ,
Nedbank Group,Financials,NED.JO,EQ,
Capitec Bank,Financials,CPI.JO,EQ,
Sanlam,Financials,SLM.JO,EQ,
Old Mutual,Financials,OMU.JO,EQ,
Discovery,Financials,DSY.JO,EQ,
Investec,Financials,INL.JO,EQ,
Investec Plc,Financials,INP.JO,EQ,
Remgro,Financials,REM.JO,EQ,
RMB Holdings,Financials,RMH.JO,EQ,
Rand Merchant Investment,Financials,RMI.JO,EQ,
Reinet Investments,Financials,RNI.JO,EQ,
PSG Konsult,Financials,KST.JO,EQ,
Quilter,Financials,QLT.JO,EQ,
Ninety One,Financials,NY1.JO,EQ,
Coronation Fund Managers,Financials,CML.JO,EQ,
Momentum Metropolitan,Financials,MTM.JO,EQ,
