Company Name,Industry,Symbol,Series,ISIN Code
Anglo American,Materials,AGL.JO,EQ,
Anglo American Platinum,Materials,AMS.JO,EQ,
BHP Group,Materials,BHG.JO,EQ,
Kumba Iron Ore,Materials,KIO.JO,EQ,
Impala Platinum,Materials,IMP.JO,EQ,
Sibanye Stillwater,Materials,SSW.JO,EQ,
Gold Fields,Materials,GFI.JO,EQ,
AngloGold Ashanti,Materials,ANG.JO,EQ,
Harmony Gold,Materials,HAR.JO,EQ,
Mondi,Materials,MNP.JO,EQ,
Sappi,Materials,SAP.JO,EQ,
Glencore,Materials,GLN.JO,EQ,
Northam Platinum,Materials,NPH.JO,EQ,
African Rainbow Minerals,Materials,ARI.JO,EQ,
Royal Bafokeng Platinum,Materials,RBP.JO,EQ,
Pan African Resources,Materials,PAN.JO,EQ,
DRDGold,Materials,DRD.JO,EQ,
